Yaw_[deg],Thrust_[N],Power_[W]
-5.000e+01,1.414e+06,5.014e+06
-4.500e+01,1.503e+06,5.980e+06
-4.000e+01,1.581e+06,6.887e+06
-3.500e+01,1.648e+06,7.709e+06
-3.000e+01,1.704e+06,8.422e+06
-2.500e+01,1.748e+06,9.009e+06
-2.000e+01,1.782e+06,9.462e+06
-1.500e+01,1.806e+06,9.785e+06
-1.000e+01,1.821e+06,9.991e+06
-5.000e+00,1.829e+06,1.010e+07
0.000e+00,1.832e+06,1.013e+07
5.000e+00,1.829e+06,1.010e+07
1.000e+01,1.821e+06,9.991e+06
1.500e+01,1.806e+06,9.785e+06
2.000e+01,1.782e+06,9.462e+06
2.500e+01,1.748e+06,9.009e+06
3.000e+01,1.704e+06,8.422e+06
3.500e+01,1.648e+06,7.709e+06
4.000e+01,1.581e+06,6.887e+06
4.500e+01,1.503e+06,5.980e+06
5.000e+01,1.414e+06,5.014e+06
