Yaw_[deg],Thrust_[N],Power_[W]
 -50,1.410e+06,5.054e+06
 -45,1.499e+06,6.014e+06
 -40,1.578e+06,6.918e+06
 -35,1.646e+06,7.736e+06
 -30,1.703e+06,8.446e+06
 -25,1.749e+06,9.034e+06
 -20,1.784e+06,9.491e+06
 -15,1.810e+06,9.821e+06
 -10,1.827e+06,1.003e+07
  -5,1.836e+06,1.015e+07
   0,1.839e+06,1.018e+07
   5,1.836e+06,1.015e+07
  10,1.827e+06,1.003e+07
  15,1.810e+06,9.821e+06
  20,1.784e+06,9.491e+06
  25,1.749e+06,9.034e+06
  30,1.703e+06,8.446e+06
  35,1.646e+06,7.735e+06
  40,1.578e+06,6.917e+06
  45,1.499e+06,6.014e+06
  50,1.410e+06,5.054e+06
