                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -4.65546278699835e-03
 9.77819519893080e-01 -1.24507336566792e-03
 9.55576199846947e-01  1.41437800732141e-03
 9.33294739147224e-01  3.29719122151324e-03
 9.11012320999258e-01  4.42738899159977e-03
 8.88783455621799e-01  4.54614918651506e-03
 8.66664700505928e-01  3.64012485000860e-03
 8.44705132102697e-01  1.88602249023523e-03
 8.22946768749984e-01 -5.95076954750868e-04
 8.01432587423375e-01 -3.72783144757359e-03
 7.80202726796000e-01 -7.57644987418308e-03
 7.59287776177547e-01 -1.20789331398985e-02
 7.38707206184221e-01 -1.71553374135819e-02
 7.18463704081493e-01 -2.26864612470132e-02
 6.98556812740125e-01 -2.85737409503115e-02
 6.78982591536646e-01 -3.47287316388463e-02
 6.59729249902957e-01 -4.10544135293706e-02
 6.40784719485695e-01 -4.74659514172758e-02
 6.22135712624504e-01 -5.38838699555851e-02
 6.03766642743035e-01 -6.02282318433593e-02
 5.85666437564403e-01 -6.64351972466645e-02
 5.67825083987654e-01 -7.24460964737581e-02
 5.50236677699395e-01 -7.82132773369881e-02
 5.32895977788523e-01 -8.36933813735500e-02
 5.15802135420770e-01 -8.88510448588653e-02
 4.98954951573333e-01 -9.36535043351003e-02
 4.82359950701868e-01 -9.80849738319864e-02
 4.66025240406847e-01 -1.02143785258550e-01
 4.49955883593247e-01 -1.05814995484063e-01
 4.34161774835820e-01 -1.09107678412048e-01
 4.18652108773309e-01 -1.12021131222164e-01
 4.03433330553961e-01 -1.14544551691454e-01
 3.88515603426663e-01 -1.16711926965003e-01
 3.73905145883609e-01 -1.18542399346790e-01
 3.59611612957792e-01 -1.20071947252192e-01
 3.45636921031293e-01 -1.21300866558197e-01
 3.31988808703314e-01 -1.22271341198294e-01
 3.18670307998019e-01 -1.22974829995856e-01
 3.05683889600360e-01 -1.23446204461620e-01
 2.93033029866484e-01 -1.23699133234666e-01
 2.80718253345112e-01 -1.23748664308092e-01
 2.68740186717440e-01 -1.23607500016674e-01
 2.57098945187899e-01 -1.23288007562591e-01
 2.45793927571370e-01 -1.22801907567189e-01
 2.34822697857915e-01 -1.22161435676677e-01
 2.24184609218493e-01 -1.21371810404426e-01
 2.13874988576197e-01 -1.20468171710637e-01
 2.03892167514539e-01 -1.19308957909272e-01
 1.94231735030877e-01 -1.17683673944797e-01
 1.84890098908772e-01 -1.15916782836985e-01
 1.75861350731290e-01 -1.14030080231479e-01
 1.67141015811190e-01 -1.12026474784411e-01
 1.58724545771312e-01 -1.09916642390813e-01
 1.50606749247842e-01 -1.07710598498276e-01
 1.42781691978477e-01 -1.05418761152998e-01
 1.35243150808618e-01 -1.03050919035068e-01
 1.27984963125135e-01 -1.00618237534580e-01
 1.20999706326705e-01 -9.81320674978022e-02
 1.14280701281810e-01 -9.56009527235023e-02
 1.07823831617622e-01 -9.30255303520960e-02
 1.01620806906625e-01 -9.04173615804819e-02
 9.56640917990829e-02 -8.77862931801163e-02
 8.99488897684683e-02 -8.51333582859276e-02
 8.44680393358672e-02 -8.24660765816328e-02
 7.92151201198600e-02 -7.97886360217896e-02
 7.41797614227938e-02 -7.71145104699471e-02
 6.93589124265898e-02 -7.44417977893774e-02
 6.47460875731226e-02 -7.17745627983521e-02
 6.03332423086579e-02 -6.91200479458992e-02
 5.61174939062577e-02 -6.64758124292349e-02
 5.20921958593973e-02 -6.38462306288424e-02
 4.82505449413237e-02 -6.12352058337885e-02
 4.45903595625931e-02 -5.86400706449901e-02
 4.11040986199540e-02 -5.60663848955824e-02
 3.77819037662118e-02 -5.35220117566624e-02
 3.46150051265749e-02 -5.10141117706296e-02
 3.16018894386200e-02 -4.85398393894024e-02
 2.87394080583770e-02 -4.60956054887120e-02
 2.60255328349211e-02 -4.36816044866109e-02
 2.34623943209549e-02 -4.12886819440127e-02
 2.10490524396521e-02 -3.89183984233403e-02
 1.87753101589944e-02 -3.65722190749569e-02
 1.66411130650519e-02 -3.42533912378421e-02
 1.46470322195390e-02 -3.19578676487495e-02
 1.27914519231117e-02 -2.96908986481542e-02
 1.10571617375317e-02 -2.74599846386558e-02
 9.40694557381150e-03 -2.52925312821165e-02
 7.90386870927286e-03 -2.31400313210322e-02
 6.55185360999587e-03 -2.09990245901100e-02
 5.35641423525107e-03 -1.88809641961058e-02
 4.30019348304048e-03 -1.67957616085417e-02
 3.37180145287584e-03 -1.47463000715215e-02
 2.58997052645207e-03 -1.27380879804060e-02
 1.93773253677279e-03 -1.07718769847329e-02
 1.35401555466845e-03 -8.84798669332298e-03
 8.98194124799256e-04 -6.97511290313095e-03
 5.90122248726355e-04 -5.15386073426934e-03
 3.28191614909163e-04 -3.37730967630102e-03
 1.13824244374287e-04 -1.65608705706579e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.04386312509715e-04  1.65565906589781e-03
 2.76182062057312e-04  3.37585040923528e-03
 4.77061217464550e-04  5.15574933758328e-03
 7.08025605428725e-04  6.99093024424807e-03
 1.03923335032445e-03  8.88816228340940e-03
 1.45721217864762e-03  1.08439123683909e-02
 1.93503654577653e-03  1.28521435251211e-02
 2.51775506753565e-03  1.49176411753949e-02
 3.22807980228143e-03  1.70338016484947e-02
 4.05699821481159e-03  1.91927658492481e-02
 5.01841120880954e-03  2.13970535631960e-02
 6.10596138480679e-03  2.36463458805397e-02
 7.32235270587641e-03  2.59345691897053e-02
 8.66666835777198e-03  2.82651357117631e-02
 1.01264631598428e-02  3.06313644400655e-02
 1.17158813017238e-02  3.30409837132067e-02
 1.34509340766029e-02  3.54755117457962e-02
 1.53359215076537e-02  3.79368000125228e-02
 1.73632761833547e-02  4.04264106593156e-02
 1.95328175141577e-02  4.29478581237363e-02
 2.18405269818511e-02  4.55090750529112e-02
 2.42779765019578e-02  4.81232481294677e-02
 2.68670788756746e-02  5.07675189617049e-02
 2.96148491981531e-02  5.34422718855649e-02
 3.25342172722547e-02  5.61296613314865e-02
 3.56316497149257e-02  5.88294703843909e-02
 3.89053633891537e-02  6.15422201735580e-02
 4.23637350524147e-02  6.42620933256639e-02
 4.60117235061692e-02  6.69867460111734e-02
 4.98472704756877e-02  6.97216282262542e-02
 5.38775225316036e-02  7.24620056282984e-02
 5.81104289272489e-02  7.52013947465325e-02
 6.25472862724601e-02  7.79422638833640e-02
 6.71977293206622e-02  8.06723180104646e-02
 7.20663902543506e-02  8.33893653536173e-02
 7.71567985236243e-02  8.60935955102405e-02
 8.24784028476666e-02  8.87724145180434e-02
 8.80325578958662e-02  9.14300986569447e-02
 9.38262641598011e-02  9.40591367221620e-02
 9.98663755741511e-02  9.66515049087090e-02
 1.06159198176099e-01  9.91998776461335e-02
 1.12709348266652e-01  1.01701897079703e-01
 1.19522221730649e-01  1.04152427136836e-01
 1.26605399775877e-01  1.06535501977211e-01
 1.33964006865280e-01  1.08845381733045e-01
 1.41602421767241e-01  1.11079501450098e-01
 1.49525800155480e-01  1.13233299182631e-01
 1.57739776765926e-01  1.15294036154371e-01
 1.66249421870538e-01  1.17254937116536e-01
 1.75059027953466e-01  1.19107865349709e-01
 1.84174535157600e-01  1.20833731970719e-01
 1.93598431186221e-01  1.22438687195227e-01
 2.03334330948539e-01  1.23929895153626e-01
 2.13386758139061e-01  1.25039779600617e-01
 2.23759366690078e-01  1.25879619049812e-01
 2.34455314049851e-01  1.26630391950403e-01
 2.45477453714911e-01  1.27274520802493e-01
 2.56827858156260e-01  1.27813625975933e-01
 2.68507977038246e-01  1.28227179826456e-01
 2.80520004430576e-01  1.28526512996534e-01
 2.92864969141859e-01  1.28690323629859e-01
 3.05543572125654e-01  1.28708201726657e-01
 3.18556225639368e-01  1.28563963732774e-01
 3.31903192431625e-01  1.28239225142057e-01
 3.45583686307363e-01  1.27735939058716e-01
 3.59596693444469e-01  1.27044997027079e-01
 3.73940493428967e-01  1.26110675391676e-01
 3.88613716116740e-01  1.24948310341098e-01
 4.03613420016198e-01  1.23524955047980e-01
 4.18938663528640e-01  1.21889911682565e-01
 4.34584947852385e-01  1.20036962432548e-01
 4.50550731058102e-01  1.17981080640309e-01
 4.66831308126152e-01  1.15715779334989e-01
 4.83424438184627e-01  1.13253955158316e-01
 5.00324519313104e-01  1.10593058384537e-01
 5.17527131590129e-01  1.07740047569286e-01
 5.35026303524718e-01  1.04695013594131e-01
 5.52818197636793e-01  1.01475601385393e-01
 5.70894150524910e-01  9.80758444279615e-02
 5.89249242547521e-01  9.45119007057900e-02
 6.07874657186021e-01  9.07836623933211e-02
 6.26763580657196e-01  8.69044906579963e-02
 6.45906089649439e-01  8.28764879603746e-02
 6.65294285849320e-01  7.87134679731059e-02
 6.84919709052044e-01  7.44310715848025e-02
 7.04772645936606e-01  7.00409788361890e-02
 7.24844313714962e-01  6.55625542595130e-02
 7.45123746911990e-01  6.10077161222815e-02
 7.65599208266592e-01  5.63879680028717e-02
 7.86260508020415e-01  5.17252025478893e-02
 8.07094832097669e-01  4.70316267122405e-02
 8.28090151268823e-01  4.23257629546114e-02
